width,height,viewBox,count
393,852,0 0 393 852,17
720,1600,0 0 720 1600,14
393,863,0 0 393 863,11
280,621,0 0 280 621,7
740,1600,0 0 740 1600,6
1220,2712,0 0 1220 2712,5
1440,900,0 0 1440 900,3
388,863,0 0 388 863,3
1170,2532,0 0 1170 2532,3
1440,1545,0 0 1440 1545,2
1440,2938,0 0 1440 2938,2
1440,814,0 0 1440 814,2
1440,1343,0 0 1440 1343,2
1440,652,0 0 1440 652,2
1440,2876,0 0 1440 2876,2
1440,1189,0 0 1440 1189,2
1440,1504,0 0 1440 1504,2
1440,2070,0 0 1440 2070,2
1440,9480,0 0 1440 9480,2
1440,1109,0 0 1440 1109,2
1440,806,0 0 1440 806,2
1440,2596,0 0 1440 2596,2
1440,10970,0 0 1440 10970,2
1440,348,0 0 1440 348,2
393,3288,0 0 393 3288,2
1440,1935,0 0 1440 1935,2
393,2237,0 0 393 2237,2
393,823,0 0 393 823,2
384,852,0 0 384 852,2
11811,1748,0 0 11811 1748,1
10403,1677,0 0 10403 1677,1
1440,1160,0 0 1440 1160,1
1440,2548,0 0 1440 2548,1
1440,2719,0 0 1440 2719,1
1440,16538,0 0 1440 16538,1
1440,18728,0 0 1440 18728,1
1440,2075,0 0 1440 2075,1
1440,2320,0 0 1440 2320,1
388,861,0 0 388 861,1
300,162,0 0 300 162,1
300,194,0 0 300 194,1
2734,1412,0 0 2734 1412,1
353,152,0 0 353 152,1
396,48,0 0 396 48,1
506,1041,0 0 506 1041,1
351,782,0 0 351 782,1
393,381,0 0 393 381,1
393,871,0 0 393 871,1
2147,3159,0 0 2147 3159,1
2672,1638,0 0 2672 1638,1
4379,1143,0 0 4379 1143,1
352,48,0 0 352 48,1
2048,1536,0 0 2048 1536,1
1151,4096,0 0 1151 4096,1
396,867,0 0 396 867,1
389,862,0 0 389 862,1
394,865,0 0 394 865,1
5441,2499,0 0 5441 2499,1
349,747,0 0 349 747,1
353,232,0 0 353 232,1
353,162,0 0 353 162,1
725,590,0 0 725 590,1
393,1183,0 0 393 1183,1
393,987,0 0 393 987,1
393,1304,0 0 393 1304,1
428,952,0 0 428 952,1
393,48,0 0 393 48,1
524,1279,0 0 524 1279,1
393,1089,0 0 393 1089,1
512,512,0 0 512 512,1
3954,2809,0 0 3954 2809,1
3954,2792,0 0 3954 2792,1
393,874,0 0 393 874,1
391,848,0 0 391 848,1
443,960,0 0 443 960,1
739,1600,0 0 739 1600,1
1024,768,0 0 1024 768,1
393,1001,0 0 393 1001,1
389,863,0 0 389 863,1
13722,1673,0 0 13722 1673,1
393,851,0 0 393 851,1
1080,1920,0 0 1080 1920,1
941,4096,0 0 941 4096,1
573,176,0 0 573 176,1
393,2293,0 0 393 2293,1
616,162,0 0 616 162,1
294,92,0 0 294 92,1
393,1475,0 0 393 1475,1
99,20,0 0 99 20,1
393,95,0 0 393 95,1
8578,3582,0 0 8578 3582,1
4260,1412,0 0 4260 1412,1
393,1166,0 0 393 1166,1
1271,2656,0 0 1271 2656,1
56,24,0 0 56 24,1
