category,dest_rel,rel,filename,width,height,viewBox,size,colors
platform-screens,reference-svg/platform-screens/001_android.svg,Choice FinX Design (5)/android.svg,android.svg,11811,1748,0 0 11811 1748,15018883,1
platform-screens,reference-svg/platform-screens/002_Screenshot_20250515_124941_Choice.svg,Choice FinX Design (5)/Screenshot_20250515_124941_Choice.svg,Screenshot_20250515_124941_Choice.svg,280,621,0 0 280 621,95737,0
platform-screens,reference-svg/platform-screens/003_Screenshot_20250515_120037_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_120037_Choice FinX.svg,Screenshot_20250515_120037_Choice FinX.svg,280,621,0 0 280 621,439142,0
platform-screens,reference-svg/platform-screens/004_Screenshot_20250515_120028_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_120028_Choice FinX.svg,Screenshot_20250515_120028_Choice FinX.svg,280,621,0 0 280 621,398182,0
platform-screens,reference-svg/platform-screens/005_Screenshot_20250515_115913_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_115913_Choice FinX.svg,Screenshot_20250515_115913_Choice FinX.svg,280,621,0 0 280 621,406046,0
platform-screens,reference-svg/platform-screens/006_Screenshot_20250515_115907_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_115907_Choice FinX.svg,Screenshot_20250515_115907_Choice FinX.svg,280,621,0 0 280 621,410174,0
platform-screens,reference-svg/platform-screens/007_Screenshot_20250515_115855_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_115855_Choice FinX.svg,Screenshot_20250515_115855_Choice FinX.svg,280,621,0 0 280 621,424814,0
platform-screens,reference-svg/platform-screens/008_Screenshot_20250515_115849_Choice_FinX.svg,Choice FinX Design (5)/Screenshot_20250515_115849_Choice FinX.svg,Screenshot_20250515_115849_Choice FinX.svg,280,621,0 0 280 621,438642,0
platform-screens,reference-svg/platform-screens/009_ios.svg,Choice FinX Design (5)/ios.svg,ios.svg,10403,1677,0 0 10403 1677,15927699,1
design-system,reference-svg/design-system/010_Design_System.svg,Choice FinX Design (4)/Design System.svg,Design System.svg,1440,900,0 0 1440 900,1615973,2
design-system,reference-svg/design-system/011_Design_System-1.svg,Choice FinX Design (4)/Design System-1.svg,Design System-1.svg,1440,900,0 0 1440 900,1616000,2
design-system,reference-svg/design-system/012_1_-_Color_Palette.svg,Choice FinX Design (4)/1 - Color Palette.svg,1 - Color Palette.svg,1440,900,0 0 1440 900,119678,49
design-system,reference-svg/design-system/013_1_-_Color_Palette-1.svg,Choice FinX Design (4)/1 - Color Palette-1.svg,1 - Color Palette-1.svg,1440,1160,0 0 1440 1160,138397,50
design-system,reference-svg/design-system/014_2_-_Typography.svg,Choice FinX Design (4)/2 - Typography.svg,2 - Typography.svg,1440,2548,0 0 1440 2548,976630,5
design-system,reference-svg/design-system/015_2_-_Typography-1.svg,Choice FinX Design (4)/2 - Typography-1.svg,2 - Typography-1.svg,1440,1545,0 0 1440 1545,697078,5
design-system,reference-svg/design-system/016_2_-_Typography-2.svg,Choice FinX Design (4)/2 - Typography-2.svg,2 - Typography-2.svg,1440,1545,0 0 1440 1545,697040,6
design-system,reference-svg/design-system/017_3_-_Buttons.svg,Choice FinX Design (4)/3 - Buttons.svg,3 - Buttons.svg,1440,2938,0 0 1440 2938,554373,20
design-system,reference-svg/design-system/018_3_-_Buttons-1.svg,Choice FinX Design (4)/3 - Buttons-1.svg,3 - Buttons-1.svg,1440,2938,0 0 1440 2938,556044,15
design-system,reference-svg/design-system/019_3_-_Buttons-2.svg,Choice FinX Design (4)/3 - Buttons-2.svg,3 - Buttons-2.svg,1440,2719,0 0 1440 2719,392828,18
design-system,reference-svg/design-system/020_6_-_Tags.svg,Choice FinX Design (4)/6 - Tags.svg,6 - Tags.svg,1440,814,0 0 1440 814,101062,14
design-system,reference-svg/design-system/021_6_-_Tags-1.svg,Choice FinX Design (4)/6 - Tags-1.svg,6 - Tags-1.svg,1440,814,0 0 1440 814,101121,15
design-system,reference-svg/design-system/022_4_-_Tabs.svg,Choice FinX Design (4)/4 - Tabs.svg,4 - Tabs.svg,1440,1343,0 0 1440 1343,243998,12
design-system,reference-svg/design-system/023_4_-_Tabs-1.svg,Choice FinX Design (4)/4 - Tabs-1.svg,4 - Tabs-1.svg,1440,1343,0 0 1440 1343,244128,10
design-system,reference-svg/design-system/024_17_-_Drop_down.svg,Choice FinX Design (4)/17 - Drop down.svg,17 - Drop down.svg,1440,652,0 0 1440 652,81762,7
design-system,reference-svg/design-system/025_17_-_Drop_down-1.svg,Choice FinX Design (4)/17 - Drop down-1.svg,17 - Drop down-1.svg,1440,652,0 0 1440 652,81674,7
design-system,reference-svg/design-system/026_18_-_Extra.svg,Choice FinX Design (4)/18 - Extra.svg,18 - Extra.svg,1440,2876,0 0 1440 2876,725245,18
design-system,reference-svg/design-system/027_18_-_Extra-1.svg,Choice FinX Design (4)/18 - Extra-1.svg,18 - Extra-1.svg,1440,2876,0 0 1440 2876,725115,17
design-system,reference-svg/design-system/028_7_-_Input_fields.svg,Choice FinX Design (4)/7 - Input fields.svg,7 - Input fields.svg,1440,1189,0 0 1440 1189,257099,16
design-system,reference-svg/design-system/029_7_-_Input_fields-1.svg,Choice FinX Design (4)/7 - Input fields-1.svg,7 - Input fields-1.svg,1440,1189,0 0 1440 1189,257160,19
design-system,reference-svg/design-system/030_8_-_Menu.svg,Choice FinX Design (4)/8 - Menu.svg,8 - Menu.svg,1440,1504,0 0 1440 1504,269215,9
design-system,reference-svg/design-system/031_8_-_Menu-1.svg,Choice FinX Design (4)/8 - Menu-1.svg,8 - Menu-1.svg,1440,1504,0 0 1440 1504,269208,9
design-system,reference-svg/design-system/032_9_-_Header.svg,Choice FinX Design (4)/9 - Header.svg,9 - Header.svg,1440,2070,0 0 1440 2070,274116,10
design-system,reference-svg/design-system/033_9_-_Header-1.svg,Choice FinX Design (4)/9 - Header-1.svg,9 - Header-1.svg,1440,2070,0 0 1440 2070,274034,12
design-system,reference-svg/design-system/034_11_-_Cards.svg,Choice FinX Design (4)/11 - Cards.svg,11 - Cards.svg,1440,9480,0 0 1440 9480,5427435,26
design-system,reference-svg/design-system/035_11_-_Cards-1.svg,Choice FinX Design (4)/11 - Cards-1.svg,11 - Cards-1.svg,1440,9480,0 0 1440 9480,5427958,27
design-system,reference-svg/design-system/036_13_-_Spacing.svg,Choice FinX Design (4)/13 - Spacing.svg,13 - Spacing.svg,1440,1109,0 0 1440 1109,80024,4
design-system,reference-svg/design-system/037_13_-_Spacing-1.svg,Choice FinX Design (4)/13 - Spacing-1.svg,13 - Spacing-1.svg,1440,1109,0 0 1440 1109,80026,5
design-system,reference-svg/design-system/038_14_-_Toast.svg,Choice FinX Design (4)/14 - Toast.svg,14 - Toast.svg,1440,806,0 0 1440 806,498460,12
design-system,reference-svg/design-system/039_14_-_Toast-1.svg,Choice FinX Design (4)/14 - Toast-1.svg,14 - Toast-1.svg,1440,806,0 0 1440 806,498462,11
design-system,reference-svg/design-system/040_10_-_Graph.svg,Choice FinX Design (4)/10 - Graph.svg,10 - Graph.svg,1440,2596,0 0 1440 2596,445269,24
design-system,reference-svg/design-system/041_10_-_Graph-1.svg,Choice FinX Design (4)/10 - Graph-1.svg,10 - Graph-1.svg,1440,2596,0 0 1440 2596,445216,21
design-system,reference-svg/design-system/042_5_-_Table.svg,Choice FinX Design (4)/5 - Table.svg,5 - Table.svg,1440,10970,0 0 1440 10970,3141758,21
design-system,reference-svg/design-system/043_5_-_Table-1.svg,Choice FinX Design (4)/5 - Table-1.svg,5 - Table-1.svg,1440,10970,0 0 1440 10970,3141734,18
design-system,reference-svg/design-system/044_listing_components.svg,Choice FinX Design (4)/listing components.svg,listing components.svg,1440,16538,0 0 1440 16538,5332572,30
design-system,reference-svg/design-system/045_listing_components-1.svg,Choice FinX Design (4)/listing components-1.svg,listing components-1.svg,1440,18728,0 0 1440 18728,5330931,26
design-system,reference-svg/design-system/046_15_-_Bottom_Sheet.svg,Choice FinX Design (4)/15 - Bottom Sheet.svg,15 - Bottom Sheet.svg,1440,2075,0 0 1440 2075,487588,12
design-system,reference-svg/design-system/047_15_-_Bottom_Sheet-1.svg,Choice FinX Design (4)/15 - Bottom Sheet-1.svg,15 - Bottom Sheet-1.svg,1440,2320,0 0 1440 2320,485588,12
design-system,reference-svg/design-system/048_16_-_Tool_Tip.svg,Choice FinX Design (4)/16 - Tool Tip.svg,16 - Tool Tip.svg,1440,348,0 0 1440 348,104402,4
